"","GEOID","B06002_001","B06002_002","B06002_003","B06002_004","B06002_005"
"Alabama","01",37.5,35.8,41.8,35.3,33.7
"Alaska","02",33.8,18.5,43.8,30.9,43.2
"Arizona","04",35.5,17.2,47.8,35.7,38.1
"Arkansas","05",37.2,33.1,43.2,33.4,34.7
"California","06",34.9,21.8,52.3,38.5,41.7
"Colorado","08",35.8,22.1,44.7,35.1,36.7
"Connecticut","09",39.5,32.3,46.9,41.9,41.7
"Delaware","10",38.3,27.3,46.5,38.4,36.9
"District of Columbia","11",34.3,27.2,37.1,34.7,37.7
"Florida","12",40.3,19.4,51.1,40.4,44.3
"Georgia","13",35,28.8,40.8,32.8,36
"Hawaii","15",38.2,32.5,40.2,34.5,46.4
"Idaho","16",34.4,24.3,42.5,32.1,36.7
"Illinois","17",36.2,31.2,45.4,41.9,40
"Indiana","18",36.6,33.3,44.1,36.5,35.3
"Iowa","19",38,37.7,39.7,32.4,34.5
"Kansas","20",36.1,31,42.3,31.1,35.9
"Kentucky","21",37.7,36.7,40.1,33.8,34.9
"Louisiana","22",35.9,33.5,43.3,36.3,39.1
"Maine","23",42,38.5,46.4,39.1,46.6
"Maryland","24",37.6,27.5,44.5,33.9,39.6
"Massachusetts","25",38.7,35.9,42.6,38.7,41.1
"Michigan","26",38.1,35,48.6,35.4,40.6
"Minnesota","27",37.1,34.6,42.8,33.8,34.8
"Mississippi","28",35.8,33.7,40.1,34,35.2
"Missouri","29",37.6,33.6,44.3,34.6,36.9
"Montana","30",39.7,32.2,45.7,33.3,45.9
"Nebraska","31",36.2,33.3,42.2,32,34.2
"Nevada","32",35.9,12.1,43.8,35.1,39.5
"New Hampshire","33",40.3,27.8,45.6,39.8,42.6
"New Jersey","34",38.5,28.7,47.3,44.9,42
"New Mexico","35",36.4,25.8,46.9,36.6,40
"New York","36",37.7,32.3,42.3,49.6,43.4
"North Carolina","37",37.1,34.5,40.8,33.2,34.5
"North Dakota","38",37.2,37.8,36.8,31,33.4
"Ohio","39",38.3,34.9,48.1,37.6,40.2
"Oklahoma","40",36.3,31,43.4,35.3,35.2
"Oregon","41",38.1,25.7,48,36.4,37.5
"Pennsylvania","42",39.8,39.2,41.3,39.6,40.5
"Rhode Island","44",38.9,36.7,40.9,35.2,42
"South Carolina","45",37.4,33.8,42.3,35.5,35.5
"South Dakota","46",37.2,34.7,40.8,28.6,35.2
"Tennessee","47",37.6,33.5,43.3,33.2,34.3
"Texas","48",33.4,26,43.5,35.7,38.3
"Utah","49",28.8,23.6,37.5,31.5,35.4
"Vermont","50",41,35.4,45,38.7,45.9
"Virginia","51",37.2,29.9,42.7,33.2,38.6
"Washington","53",37,25.8,45.7,34,38.7
"West Virginia","54",41.1,42,39.5,34.6,40.9
"Wisconsin","55",38.1,36.2,43.1,35.1,36.5
"Wyoming","56",37,26.5,44.1,33,37
